logZ,muXX,muYY
4.70543576242303,-8.60000000000000,-9.80000000000000
4.68699250404173,-8.40000000000000,-9.80000000000000
4.66881383974484,-8.20000000000000,-9.80000000000000
4.65090482762495,-8,-9.80000000000000
4.63327056208785,-7.80000000000000,-9.80000000000000
4.61591617022102,-7.60000000000000,-9.80000000000000
4.59884680793026,-7.40000000000000,-9.80000000000000
4.58206765584163,-7.20000000000000,-9.80000000000000
4.56558391496728,-7,-9.80000000000000
4.54940080213419,-6.80000000000000,-9.80000000000000
4.53352354517619,-6.60000000000000,-9.80000000000000
4.51795737789014,-6.40000000000000,-9.80000000000000
4.50270753475869,-6.20000000000000,-9.80000000000000
4.48777924544294,-6,-9.80000000000000
4.47317772904961,-5.80000000000000,-9.80000000000000
4.45890818817853,-5.60000000000000,-9.80000000000000
4.44497580275765,-5.40000000000000,-9.80000000000000
4.43138572367406,-5.20000000000000,-9.80000000000000
4.41814306621111,-5,-9.80000000000000
4.40525290330277,-4.80000000000000,-9.80000000000000
4.39272025861823,-4.60000000000000,-9.80000000000000
4.38055009949102,-4.40000000000000,-9.80000000000000
4.36874732970833,-4.20000000000000,-9.80000000000000
4.35731678217785,-4,-9.80000000000000
4.34626321149070,-3.80000000000000,-9.80000000000000
4.33559128640062,-3.60000000000000,-9.80000000000000
4.32530558224058,-3.40000000000000,-9.80000000000000
4.31541057329982,-3.20000000000000,-9.80000000000000
4.30591062518478,-3,-9.80000000000000
4.29680998718929,-2.80000000000000,-9.80000000000000
4.28811278469959,-2.60000000000000,-9.80000000000000
4.27982301166127,-2.40000000000000,-9.80000000000000
4.27194452313561,-2.20000000000000,-9.80000000000000
4.26448102797329,-2,-9.80000000000000
4.25743608163428,-1.80000000000000,-9.80000000000000
4.25081307918237,-1.60000000000000,-9.80000000000000
4.24461524848343,-1.40000000000000,-9.80000000000000
4.23884564363595,-1.20000000000000,-9.80000000000000
4.23350713866221,-1,-9.80000000000000
4.22860242148798,-0.799999999999999,-9.80000000000000
4.22413398823772,-0.600000000000000,-9.80000000000000
4.22010413787150,-0.399999999999999,-9.80000000000000
4.21651496718854,-0.199999999999999,-9.80000000000000
4.21336836622099,0,-9.80000000000000
4.21066601404018,0.199999999999999,-9.80000000000000
4.20840937499540,0.399999999999999,-9.80000000000000
4.20659969540408,0.600000000000000,-9.80000000000000
4.20523800070940,0.799999999999999,-9.80000000000000
