beta,min eigenvalue of Hessian
0.230000000000000,4.11690825791340E-06
0.240000000000000,2.84075535669083E-06
0.250000000000000,1.95413806135272E-06
0.260000000000000,1.34027460994448E-06
0.270000000000000,9.16639602776875E-07
0.280000000000000,6.25084993781527E-07
0.290000000000000,4.24991012395277E-07
0.300000000000000,2.88040072282935E-07
0.310000000000000,1.94409982570343E-07
0.320000000000000,1.30893628467291E-07
0.330000000000000,8.74103621457735E-08
0.340000000000000,5.80715600368055E-08
0.350000000000000,3.81333147384165E-08
0.360000000000000,2.45984319047396E-08
0.370000000000000,1.53364122760832E-08
0.380000000000000,9.26960713614323E-09
0.390000000000000,4.90698953073306E-09
0.400000000000000,2.33738149261289E-09
0.410000000000000,3.89496259055971E-10
0.420000000000000,-1.06434009239752E-09
0.430000000000000,-1.91828610004142E-09
0.440000000000000,-2.68841099958032E-09
0.450000000000000,-3.16728707330105E-09
0.460000000000000,-3.35991081891820E-09
0.470000000000000,-3.62525436894314E-09
0.480000000000000,-3.59361315009887E-09
0.490000000000000,-3.96331813402091E-09
0.500000000000000,-4.16667459142201E-09
0.510000000000000,-4.28472872652796E-09
0.520000000000000,-4.06897533215589E-09
0.530000000000000,-4.47420775579261E-09
0.540000000000000,-4.47568865337957E-09
0.550000000000000,-4.59226244901080E-09
0.560000000000000,-4.77915077461683E-09
0.570000000000000,-4.77693113865053E-09
0.580000000000000,-4.90053664103951E-09
0.590000000000000,-4.96974141690664E-09
0.600000000000000,-4.96012038387517E-09
0.610000000000000,-5.05375018581076E-09
0.620000000000000,-5.20400137664344E-09
0.630000000000000,-5.38533938467289E-09
0.640000000000000,-5.40162361867458E-09
0.650000000000000,-5.50857660253288E-09
0.660000000000000,-5.59258487403452E-09
0.670000000000000,-5.61923158875762E-09
0.680000000000000,-5.72211392389207E-09
0.690000000000000,-5.73654786244643E-09
0.700000000000000,-5.89827285498669E-09
0.710000000000000,-5.79243233381362E-09
0.720000000000000,-6.08997537260777E-09
0.730000000000000,-6.21136205853499E-09
0.740000000000000,-6.20877380382029E-09
0.750000000000000,-6.39418395722449E-09
0.760000000000000,-6.43822518854134E-09
0.770000000000000,-6.44155843365627E-09
0.780000000000000,-6.65953594242043E-09
0.790000000000000,-6.62216090447426E-09
0.800000000000000,-6.75909287428562E-09
0.810000000000000,-6.86086766062631E-09
0.820000000000000,-6.99668799943764E-09
0.830000000000000,-6.93488949873320E-09
0.840000000000000,-7.04628720592260E-09
0.850000000000000,-7.17803852046083E-09
